author_keywords,citation_count,eid,length_of_abstract,publication_year,refcount,sub_type,subject_areas
"Aqueous electrolyte,Binder free,Carbon cloth,Nanofiber,Vanadium oxide,Zinc trifluoromethanesulfonate,Zinc-ion battery",33,2-s2.0-85077085511,146,2019,41,ar,ENGI
"asiatic acid,asiaticoside,neuritogenicity,TrkA receptor",3,2-s2.0-85074874488,230,2019,24,ar,NEUR
"Biomarker,Cytokines,Disease activity,Interleukin,Systemic lupus erythematosus",42,2-s2.0-85077084700,298,2019,41,ar,MEDI
"Biomarker,Cytokines,Disease activity,Interleukin,Systemic lupus erythematosus",42,2-s2.0-85077084700,298,2019,41,ar,MEDI
"Biomarker,Cytokines,Disease activity,Interleukin,Systemic lupus erythematosus",42,2-s2.0-85077084700,298,2019,41,ar,IMMU
"Basic and comprehensive emergency obstetric and newborn care,Maternal health,Newborn care",8,2-s2.0-85076699514,304,2019,27,ar,MEDI
"Accessibility to health services,catastrophic health expenditure,Community-Based Health Insurance,financial protection,health policy,health services,hospitalisation,Laos People's Democratic Republic,National Health Insurance",9,2-s2.0-85076675424,384,2019,42,ar,MEDI
"early treated,HIV,infants,neonates,newborns,viral load,viral suppression",7,2-s2.0-85074853228,212,2019,40,ar,MEDI
"early treated,HIV,infants,neonates,newborns,viral load,viral suppression",7,2-s2.0-85074853228,212,2019,40,ar,MEDI
"adolescent,HIV,loss to follow-up",2,2-s2.0-85074741775,259,2019,17,ar,MEDI
"adolescent,HIV,loss to follow-up",2,2-s2.0-85074741775,259,2019,17,ar,MEDI
"Facial myokymia,Hemifacial spasm,Red flags,The Babinski-2 sign,Tonic spasms of facial muscles",4,2-s2.0-85074189829,123,2019,16,le,NEUR
"Facial myokymia,Hemifacial spasm,Red flags,The Babinski-2 sign,Tonic spasms of facial muscles",4,2-s2.0-85074189829,123,2019,16,le,MEDI
"3D modelling,Deactivation,Near-infrared imaging,Preferential oxidation of CO,Spatially resolved,Tomography",6,2-s2.0-85068367264,197,2019,46,ar,CHEM
"3D modelling,Deactivation,Near-infrared imaging,Preferential oxidation of CO,Spatially resolved,Tomography",6,2-s2.0-85068367264,197,2019,46,ar,ENVI
"3D modelling,Deactivation,Near-infrared imaging,Preferential oxidation of CO,Spatially resolved,Tomography",6,2-s2.0-85068367264,197,2019,46,ar,CENG
"3D modelling,Deactivation,Near-infrared imaging,Preferential oxidation of CO,Spatially resolved,Tomography",6,2-s2.0-85068367264,197,2019,46,ar,ENGI
"anxiety,depression,fatigue,neuroimmune,premenstrual syndrome,progesterone",14,2-s2.0-85070088374,246,2019,92,ar,MEDI
"anxiety,depression,fatigue,neuroimmune,premenstrual syndrome,progesterone",14,2-s2.0-85070088374,246,2019,92,ar,NEUR
"CO2 conversion,cyanobacteria,evolutionary engineering,farnesene",18,2-s2.0-85076318153,152,2019,40,ar,CHEM
"CO2 conversion,cyanobacteria,evolutionary engineering,farnesene",18,2-s2.0-85076318153,152,2019,40,ar,AGRI
"Multiclass Classification,Problem Report,Text Classification",2,2-s2.0-85079901860,260,2019,11,cp,COMP
"Multiclass Classification,Problem Report,Text Classification",2,2-s2.0-85079901860,260,2019,11,cp,COMP
"Multiclass Classification,Problem Report,Text Classification",2,2-s2.0-85079901860,260,2019,11,cp,COMP
"Multiclass Classification,Problem Report,Text Classification",2,2-s2.0-85079901860,260,2019,11,cp,COMP
"Fault Tolerance Patterns,Non-functional Requirements,Requirement Patterns,Scrum,Security Patterns",5,2-s2.0-85079900390,236,2019,14,cp,COMP
"Fault Tolerance Patterns,Non-functional Requirements,Requirement Patterns,Scrum,Security Patterns",5,2-s2.0-85079900390,236,2019,14,cp,COMP
"Fault Tolerance Patterns,Non-functional Requirements,Requirement Patterns,Scrum,Security Patterns",5,2-s2.0-85079900390,236,2019,14,cp,COMP
"Fault Tolerance Patterns,Non-functional Requirements,Requirement Patterns,Scrum,Security Patterns",5,2-s2.0-85079900390,236,2019,14,cp,COMP
"Database Schema,Hibernate ORM,Object-Relational Mapping (ORM),Software Testing,Test Case",2,2-s2.0-85079879521,174,2019,12,cp,COMP
"Database Schema,Hibernate ORM,Object-Relational Mapping (ORM),Software Testing,Test Case",2,2-s2.0-85079879521,174,2019,12,cp,COMP
"Database Schema,Hibernate ORM,Object-Relational Mapping (ORM),Software Testing,Test Case",2,2-s2.0-85079879521,174,2019,12,cp,COMP
"Database Schema,Hibernate ORM,Object-Relational Mapping (ORM),Software Testing,Test Case",2,2-s2.0-85079879521,174,2019,12,cp,COMP
"Class Integration Testing,Driver,Object-Oriented,Sequence Diagram,Software Testing,Stub,Test Case",2,2-s2.0-85079866987,184,2019,14,cp,COMP
"Class Integration Testing,Driver,Object-Oriented,Sequence Diagram,Software Testing,Stub,Test Case",2,2-s2.0-85079866987,184,2019,14,cp,COMP
"Class Integration Testing,Driver,Object-Oriented,Sequence Diagram,Software Testing,Stub,Test Case",2,2-s2.0-85079866987,184,2019,14,cp,COMP
"Class Integration Testing,Driver,Object-Oriented,Sequence Diagram,Software Testing,Stub,Test Case",2,2-s2.0-85079866987,184,2019,14,cp,COMP
"BPMN,Business Rule Task,Decision table,DMN,Test case",3,2-s2.0-85079842074,246,2019,10,cp,COMP
"BPMN,Business Rule Task,Decision table,DMN,Test case",3,2-s2.0-85079842074,246,2019,10,cp,COMP
"BPMN,Business Rule Task,Decision table,DMN,Test case",3,2-s2.0-85079842074,246,2019,10,cp,COMP
"BPMN,Business Rule Task,Decision table,DMN,Test case",3,2-s2.0-85079842074,246,2019,10,cp,COMP
"Complex Adaptive System,Local Government Debt,Power Law,Risk and Uncertainty Management,Self-Organized Criticality",1,2-s2.0-85092073308,264,2019,33,ar,SOCI
"Complex Adaptive System,Local Government Debt,Power Law,Risk and Uncertainty Management,Self-Organized Criticality",1,2-s2.0-85092073308,264,2019,33,ar,ECON
"Complex Adaptive System,Local Government Debt,Power Law,Risk and Uncertainty Management,Self-Organized Criticality",1,2-s2.0-85092073308,264,2019,33,ar,ECON
"ARIMA,capacitated vehicle routing problem with time window,parcel delivery services",0,2-s2.0-85090207997,232,2019,15,cp,COMP
"ARIMA,capacitated vehicle routing problem with time window,parcel delivery services",0,2-s2.0-85090207997,232,2019,15,cp,COMP
"ARIMA,capacitated vehicle routing problem with time window,parcel delivery services",0,2-s2.0-85090207997,232,2019,15,cp,ENER
"ARIMA,capacitated vehicle routing problem with time window,parcel delivery services",0,2-s2.0-85090207997,232,2019,15,cp,ENGI
"ARIMA,capacitated vehicle routing problem with time window,parcel delivery services",0,2-s2.0-85090207997,232,2019,15,cp,ENGI
"ARIMA,capacitated vehicle routing problem with time window,parcel delivery services",0,2-s2.0-85090207997,232,2019,15,cp,MATH
"ARIMA,capacitated vehicle routing problem with time window,parcel delivery services",0,2-s2.0-85090207997,232,2019,15,cp,PHYS
"Endometrial cells,Porcine reproductive and respiratory syndrome,PRRSV receptor,Releasing of virus,Susceptibility",2,2-s2.0-85085664117,254,2019,35,ar,VETE
"Broiler chickens,Competitive exclusion,Salmonella",2,2-s2.0-85085663916,257,2019,31,ar,VETE
"Branching pattern,Coeliac trunk,Coeliacomesenteric trunk,Thai native dogs",0,2-s2.0-85085658899,261,2019,39,ar,VETE
"Chronic toxicity,Histopathology,Monosodium glutamate,Zebrafish",3,2-s2.0-85085658576,287,2019,42,ar,VETE
"Battery energy storage system (BESS),Electricity charge saving,Net present value (NPV),Net-metering scheme (NMS),Operation schedule",2,2-s2.0-85084261278,244,2019,29,ar,ENER
"Battery energy storage system (BESS),Electricity charge saving,Net present value (NPV),Net-metering scheme (NMS),Operation schedule",2,2-s2.0-85084261278,244,2019,29,ar,ENER
"Cuo,Hydrogen production,Sintering additive,Solid oxide electrolysis cells,Steam electrolysis",7,2-s2.0-85079683232,164,2019,37,ar,CENG
"Cuo,Hydrogen production,Sintering additive,Solid oxide electrolysis cells,Steam electrolysis",7,2-s2.0-85079683232,164,2019,37,ar,CENG
"Cuo,Hydrogen production,Sintering additive,Solid oxide electrolysis cells,Steam electrolysis",7,2-s2.0-85079683232,164,2019,37,ar,CENG
"Conspicuous consumption,happiness,mental health,online social networking devices,social comparison",3,2-s2.0-85078758274,223,2019,73,ar,ECON
"Hadron-Hadron scattering (experiments),Particle and resonance production",43,2-s2.0-85076849567,99,2019,46,ar,PHYS
"B physics,Hadron-Hadron scattering (experiments)",7,2-s2.0-85076606991,164,2019,21,ar,PHYS
"Hadron-Hadron scattering (experiments),Particle and resonance production",75,2-s2.0-85076496456,136,2019,83,ar,PHYS
"Beyond Standard Model,Hadron-Hadron scattering (experiments)",23,2-s2.0-85076454859,157,2019,95,ar,PHYS
"Attitude,Knowledge,Oral health education,Primary schools,Schoolteacher",8,2-s2.0-85076354183,293,2019,36,ar,DENT
"Arthroplasty,Bilateral,Blood loss,Knee,Prosthesis,Transfusion",10,2-s2.0-85075953739,304,2019,29,ar,MEDI
"Arthroplasty,Bilateral,Blood loss,Knee,Prosthesis,Transfusion",10,2-s2.0-85075953739,304,2019,29,ar,MEDI
"cell culture,clinical studies,Grammatophyllum speciosum Blume,non-cell-based assay,skin anti-ageing,skin anti-wrinkle",10,2-s2.0-85075458115,223,2019,33,ar,CHEM
"cell culture,clinical studies,Grammatophyllum speciosum Blume,non-cell-based assay,skin anti-ageing,skin anti-wrinkle",10,2-s2.0-85075458115,223,2019,33,ar,BIOC
"cell culture,clinical studies,Grammatophyllum speciosum Blume,non-cell-based assay,skin anti-ageing,skin anti-wrinkle",10,2-s2.0-85075458115,223,2019,33,ar,PHAR
"cell culture,clinical studies,Grammatophyllum speciosum Blume,non-cell-based assay,skin anti-ageing,skin anti-wrinkle",10,2-s2.0-85075458115,223,2019,33,ar,PHAR
"cell culture,clinical studies,Grammatophyllum speciosum Blume,non-cell-based assay,skin anti-ageing,skin anti-wrinkle",10,2-s2.0-85075458115,223,2019,33,ar,MEDI
"cell culture,clinical studies,Grammatophyllum speciosum Blume,non-cell-based assay,skin anti-ageing,skin anti-wrinkle",10,2-s2.0-85075458115,223,2019,33,ar,CENG
"Male-male interaction,Mating,Recognition,Sexual role",2,2-s2.0-85075230997,175,2019,48,ar,AGRI
"Male-male interaction,Mating,Recognition,Sexual role",2,2-s2.0-85075230997,175,2019,48,ar,AGRI
"Bio-oil,Catalyst recovery,Catalytic hydrothermal liquefaction,Central composite design,Response surface methodology,Spirulina platensis",30,2-s2.0-85075062517,240,2019,35,ar,AGRI
"Bio-oil,Catalyst recovery,Catalytic hydrothermal liquefaction,Central composite design,Response surface methodology,Spirulina platensis",30,2-s2.0-85075062517,240,2019,35,ar,ENER
"Bio-oil,Catalyst recovery,Catalytic hydrothermal liquefaction,Central composite design,Response surface methodology,Spirulina platensis",30,2-s2.0-85075062517,240,2019,35,ar,AGRI
"Bio-oil,Catalyst recovery,Catalytic hydrothermal liquefaction,Central composite design,Response surface methodology,Spirulina platensis",30,2-s2.0-85075062517,240,2019,35,ar,ENVI
"Enterocytozoon hepatopenaei,Microsporidian,QPCR,Shrimp parasite",19,2-s2.0-85075060781,104,2019,15,ar,MEDI
"Enterocytozoon hepatopenaei,Microsporidian,QPCR,Shrimp parasite",19,2-s2.0-85075060781,104,2019,15,ar,BIOC
"Enterocytozoon hepatopenaei,Microsporidian,QPCR,Shrimp parasite",19,2-s2.0-85075060781,104,2019,15,ar,IMMU
"Enterocytozoon hepatopenaei,Microsporidian,QPCR,Shrimp parasite",19,2-s2.0-85075060781,104,2019,15,ar,MEDI
"Enterocytozoon hepatopenaei,Microsporidian,QPCR,Shrimp parasite",19,2-s2.0-85075060781,104,2019,15,ar,MEDI
"EFS24,event free survival,peripheral T cell lymphoma,prognosis,risk stratification",13,2-s2.0-85075039642,191,2019,30,ar,MEDI
"EFS24,event free survival,peripheral T cell lymphoma,prognosis,risk stratification",13,2-s2.0-85075039642,191,2019,30,ar,MEDI
"EFS24,event free survival,peripheral T cell lymphoma,prognosis,risk stratification",13,2-s2.0-85075039642,191,2019,30,ar,BIOC
"Antibiotic fate,Core microbiome,Demethylation,Sulfate reduction,Trimethoprim (TMP) biodegradation",23,2-s2.0-85075030210,172,2019,53,ar,ENVI
"Amperometry,Electrochemical sensor,Hydrogen peroxide,Lactate,Milk sample,Pt/PANI/MXene nanocomposite,Ti3C2",77,2-s2.0-85074703921,176,2019,35,ar,CHEM
"BONE MINERAL DENSITY,BONE TURNOVER,HIV,SWITCHING,TENOFOVIR,ZOLEDRONIC ACID",9,2-s2.0-85074667265,279,2019,13,ar,MEDI
"BONE MINERAL DENSITY,BONE TURNOVER,HIV,SWITCHING,TENOFOVIR,ZOLEDRONIC ACID",9,2-s2.0-85074667265,279,2019,13,ar,MEDI
"Agricultural students,setting up a farm,Thailand,vocational training,youth aspirations",8,2-s2.0-85074352439,216,2019,37,ar,ENVI
"Agricultural students,setting up a farm,Thailand,vocational training,youth aspirations",8,2-s2.0-85074352439,216,2019,37,ar,AGRI
"Agricultural students,setting up a farm,Thailand,vocational training,youth aspirations",8,2-s2.0-85074352439,216,2019,37,ar,AGRI
"Adiponectin,Leptin,Metabolic syndrome,Pediatric obesity,Resistin",2,2-s2.0-85074349487,213,2019,36,ar,MEDI
"Adiponectin,Leptin,Metabolic syndrome,Pediatric obesity,Resistin",2,2-s2.0-85074349487,213,2019,36,ar,MEDI
"Adiponectin,Leptin,Metabolic syndrome,Pediatric obesity,Resistin",2,2-s2.0-85074349487,213,2019,36,ar,MEDI
"Policy assessment,public programmes,setting up a farm,Thailand,young farmers",16,2-s2.0-85074346751,194,2019,45,ar,ENVI
"Policy assessment,public programmes,setting up a farm,Thailand,young farmers",16,2-s2.0-85074346751,194,2019,45,ar,AGRI
"Policy assessment,public programmes,setting up a farm,Thailand,young farmers",16,2-s2.0-85074346751,194,2019,45,ar,AGRI
"Ancylostoma ceylanicum,Cat,Hookworm,Selamectin (Revolution®)",3,2-s2.0-85074140280,242,2019,24,ar,IMMU
"Ancylostoma ceylanicum,Cat,Hookworm,Selamectin (Revolution®)",3,2-s2.0-85074140280,242,2019,24,ar,VETE
"acne vulgaris,adult female acne,ketoconazole,post-adolescent acne,topical acne treatment",5,2-s2.0-85074012960,207,2019,26,ar,MEDI
"Disability,MSSS,Multiple sclerosis,sTNFR1,sTNFR2,Tumor necrosis factor alpha",29,2-s2.0-85073994873,217,2019,53,ar,IMMU
"Disability,MSSS,Multiple sclerosis,sTNFR1,sTNFR2,Tumor necrosis factor alpha",29,2-s2.0-85073994873,217,2019,53,ar,PHAR
"depressive disorders,diagnostic interviews,Edinburgh Postnatal Depression Scale,individual participant data meta-analysis,major depression",32,2-s2.0-85073948478,217,2019,24,ar,MEDI
"Drug-induced liver injury,Pharmacogenomics,Southeast Asia,Stevens-Johnson syndrome,Toxic epidermal necrolysis",21,2-s2.0-85073694205,200,2019,16,ar,MEDI
"Drug-induced liver injury,Pharmacogenomics,Southeast Asia,Stevens-Johnson syndrome,Toxic epidermal necrolysis",21,2-s2.0-85073694205,200,2019,16,ar,MEDI
"Chemosensor,Cyanide,Fluoride,Furan,Hydrazone,Schiff base,Thiophene",26,2-s2.0-85072407045,197,2019,39,ar,CHEM
"Chemosensor,Cyanide,Fluoride,Furan,Hydrazone,Schiff base,Thiophene",26,2-s2.0-85072407045,197,2019,39,ar,CENG
"Chemosensor,Cyanide,Fluoride,Furan,Hydrazone,Schiff base,Thiophene",26,2-s2.0-85072407045,197,2019,39,ar,PHYS
"cccDNA,chronic hepatitis B,entecavir,HBsAg,HBV RNA,pegylated interferon,stopping rule,virological response",17,2-s2.0-85072175191,266,2019,30,ar,MEDI
"cccDNA,chronic hepatitis B,entecavir,HBsAg,HBV RNA,pegylated interferon,stopping rule,virological response",17,2-s2.0-85072175191,266,2019,30,ar,IMMU
"cccDNA,chronic hepatitis B,entecavir,HBsAg,HBV RNA,pegylated interferon,stopping rule,virological response",17,2-s2.0-85072175191,266,2019,30,ar,MEDI
"Antiretroviral therapy,Condomless sex,Heterosexual,HIV,MSM,Transmission",2,2-s2.0-85072048011,277,2019,52,ar,MEDI
"Antiretroviral therapy,Condomless sex,Heterosexual,HIV,MSM,Transmission",2,2-s2.0-85072048011,277,2019,52,ar,IMMU
"Antiretroviral therapy,Condomless sex,Heterosexual,HIV,MSM,Transmission",2,2-s2.0-85072048011,277,2019,52,ar,MEDI
"Nitric oxide,Nitrite,Pharmacodynamics,Pharmacokinetics,Platelet,Thalassemia",4,2-s2.0-85072012235,241,2019,43,ar,BIOC
"Nitric oxide,Nitrite,Pharmacodynamics,Pharmacokinetics,Platelet,Thalassemia",4,2-s2.0-85072012235,241,2019,43,ar,BIOC
"Nitric oxide,Nitrite,Pharmacodynamics,Pharmacokinetics,Platelet,Thalassemia",4,2-s2.0-85072012235,241,2019,43,ar,BIOC
"Nitric oxide,Nitrite,Pharmacodynamics,Pharmacokinetics,Platelet,Thalassemia",4,2-s2.0-85072012235,241,2019,43,ar,BIOC
"Incidence,Liver injury,Parenteral nutrition,PNALD,Risk factor",11,2-s2.0-85071857556,258,2019,25,ar,MEDI
"Incidence,Liver injury,Parenteral nutrition,PNALD,Risk factor",11,2-s2.0-85071857556,258,2019,25,ar,NURS
"Anadara granosa,benthic environments,benthic macroinvertebrate fauna,cockle cultivation,distributions,diversity",3,2-s2.0-85071390008,238,2019,27,ar,AGRI
"Autosomal dominant inheritance,Enamel hypoplasia,Hypocalcified enamel,Mineralization,Osteogenic differentiation,Periodontium",8,2-s2.0-85070745081,226,2019,14,ar,BIOC
"Autosomal dominant inheritance,Enamel hypoplasia,Hypocalcified enamel,Mineralization,Osteogenic differentiation,Periodontium",8,2-s2.0-85070745081,226,2019,14,ar,BIOC
"Autosomal dominant inheritance,Enamel hypoplasia,Hypocalcified enamel,Mineralization,Osteogenic differentiation,Periodontium",8,2-s2.0-85070745081,226,2019,14,ar,MEDI
"Autosomal dominant inheritance,Enamel hypoplasia,Hypocalcified enamel,Mineralization,Osteogenic differentiation,Periodontium",8,2-s2.0-85070745081,226,2019,14,ar,BIOC
"fine needle aspiration,myoepithelial cell,pleomorphic adenoma",5,2-s2.0-85070309338,246,2019,16,ar,MEDI
"fine needle aspiration,myoepithelial cell,pleomorphic adenoma",5,2-s2.0-85070309338,246,2019,16,ar,MEDI
"Area under the serum concentration-time curve,Equation,Outcome,Pediatric,Trough concentration,Vancomycin",17,2-s2.0-85069864372,270,2019,38,ar,PHAR
"Area under the serum concentration-time curve,Equation,Outcome,Pediatric,Trough concentration,Vancomycin",17,2-s2.0-85069864372,270,2019,38,ar,MEDI
"Occlusal equilibration appliance (OEA),Pain,Posselt's finding",1,2-s2.0-85069616898,253,2019,20,ar,MEDI
"Occlusal equilibration appliance (OEA),Pain,Posselt's finding",1,2-s2.0-85069616898,253,2019,20,ar,MEDI
"Aspergillus flavus,Cellulose,Extremozyme,Halophilic fungi",30,2-s2.0-85068862375,176,2019,30,ar,BIOC
"Aspergillus flavus,Cellulose,Extremozyme,Halophilic fungi",30,2-s2.0-85068862375,176,2019,30,ar,CENG
"Aspergillus flavus,Cellulose,Extremozyme,Halophilic fungi",30,2-s2.0-85068862375,176,2019,30,ar,BIOC
"Aspergillus flavus,Cellulose,Extremozyme,Halophilic fungi",30,2-s2.0-85068862375,176,2019,30,ar,IMMU
"Aspergillus flavus,Cellulose,Extremozyme,Halophilic fungi",30,2-s2.0-85068862375,176,2019,30,ar,BIOC
"Anti-osteoporosis medications,Bisphosphonate,Factor,Opinion,Osteoporosis",3,2-s2.0-85068162816,232,2019,15,ar,MEDI
"Cyanobacteria,GABA production,Glutamate decarboxylase,Glutamate homeostasis,Synechocystis sp. PCC6803",8,2-s2.0-85067679501,164,2019,31,ar,AGRI
"Cyanobacteria,GABA production,Glutamate decarboxylase,Glutamate homeostasis,Synechocystis sp. PCC6803",8,2-s2.0-85067679501,164,2019,31,ar,AGRI
"Antioxidant activity,chemometrics,Electron Spinning Resonance,honey,longan,melissopalynological analysis,multivariate analysis,phenolics",10,2-s2.0-85067430952,156,2019,30,ar,AGRI
"Antioxidant activity,chemometrics,Electron Spinning Resonance,honey,longan,melissopalynological analysis,multivariate analysis,phenolics",10,2-s2.0-85067430952,156,2019,30,ar,ENGI
"curcumin,curcuminoids,laparoscopic pain,postoperative pain,turmeric",6,2-s2.0-85067198474,202,2019,22,ar,MEDI
"Asia,Leishmania martiniquensis – Phlebotomus,molecular systematics,Sergentomyia,taxonomy,vector",16,2-s2.0-85067022920,171,2019,25,ar,IMMU
"Asia,Leishmania martiniquensis – Phlebotomus,molecular systematics,Sergentomyia,taxonomy,vector",16,2-s2.0-85067022920,171,2019,25,ar,AGRI
"Asia,Leishmania martiniquensis – Phlebotomus,molecular systematics,Sergentomyia,taxonomy,vector",16,2-s2.0-85067022920,171,2019,25,ar,VETE
"Asia,Leishmania martiniquensis – Phlebotomus,molecular systematics,Sergentomyia,taxonomy,vector",16,2-s2.0-85067022920,171,2019,25,ar,AGRI
"Charge engineering,Graphene wave,Hydrogen evolution reaction,Molybdenum carbide,Nitrogen-doped carbon nanosheets",86,2-s2.0-85066404026,131,2019,56,ar,MATE
"Charge engineering,Graphene wave,Hydrogen evolution reaction,Molybdenum carbide,Nitrogen-doped carbon nanosheets",86,2-s2.0-85066404026,131,2019,56,ar,MATE
"Charge engineering,Graphene wave,Hydrogen evolution reaction,Molybdenum carbide,Nitrogen-doped carbon nanosheets",86,2-s2.0-85066404026,131,2019,56,ar,ENGI
"Antimicrobial activity,Endophytic actinomycetes,Polyketides,Streptomyces",5,2-s2.0-85064265315,176,2019,41,ar,IMMU
"Antimicrobial activity,Endophytic actinomycetes,Polyketides,Streptomyces",5,2-s2.0-85064265315,176,2019,41,ar,MEDI
"Antiretroviral medication adherence,Art-based cognitive-behavioral group therapy,Depressive symptoms,HIV-infection,Thailand",1,2-s2.0-85062995015,231,2019,38,ar,SOCI
"Antiretroviral medication adherence,Art-based cognitive-behavioral group therapy,Depressive symptoms,HIV-infection,Thailand",1,2-s2.0-85062995015,231,2019,38,ar,PSYC
"Antiretroviral medication adherence,Art-based cognitive-behavioral group therapy,Depressive symptoms,HIV-infection,Thailand",1,2-s2.0-85062995015,231,2019,38,ar,PSYC
"Over-strength factor,Pushover analysis,Seismic design,Tall RC shear wall building",1,2-s2.0-85076016057,292,2019,37,ar,ENGI
"Asean,English,National language,Radio language",0,2-s2.0-85075987177,213,2019,24,ar,ARTS
"Boundary tracing method,Feasible region,Particle swarm optimization,Power flow solution space",0,2-s2.0-85075926519,212,2019,29,ar,ENGI
"Convolutional Neural Network,Median Layer,Video Classification",1,2-s2.0-85081090984,154,2019,15,cp,COMP
"Convolutional Neural Network,Median Layer,Video Classification",1,2-s2.0-85081090984,154,2019,15,cp,COMP
"Convolutional Neural Network,Median Layer,Video Classification",1,2-s2.0-85081090984,154,2019,15,cp,COMP
"Convolutional Neural Network,Median Layer,Video Classification",1,2-s2.0-85081090984,154,2019,15,cp,COMP
"Forward osmosis,Interfacial polymerization,Simplified synthesis,Thin film composite",10,2-s2.0-85066972527,164,2019,35,ar,CHEM
"Forward osmosis,Interfacial polymerization,Simplified synthesis,Thin film composite",10,2-s2.0-85066972527,164,2019,35,ar,CENG
"Cytotoxicity,Drug delivery,Primary human corneal epithelial cell",0,2-s2.0-85082699817,185,2019,14,cp,COMP
"Cytotoxicity,Drug delivery,Primary human corneal epithelial cell",0,2-s2.0-85082699817,185,2019,14,cp,COMP
"Cytotoxicity,Drug delivery,Primary human corneal epithelial cell",0,2-s2.0-85082699817,185,2019,14,cp,COMP
"Cytotoxicity,Drug delivery,Primary human corneal epithelial cell",0,2-s2.0-85082699817,185,2019,14,cp,COMP
"Announcement,Loudspeaker,Malaria care,Malaria infection,Rural Myanmar",12,2-s2.0-85074955324,293,2019,41,ar,IMMU
"Announcement,Loudspeaker,Malaria care,Malaria infection,Rural Myanmar",12,2-s2.0-85074955324,293,2019,41,ar,MEDI
"Biodiesel,FAME,Household fruit blender,Yield efficiency",13,2-s2.0-85070062407,205,2019,41,ar,ENER
"Biodiesel,FAME,Household fruit blender,Yield efficiency",13,2-s2.0-85070062407,205,2019,41,ar,ENVI
"Biodiesel,FAME,Household fruit blender,Yield efficiency",13,2-s2.0-85070062407,205,2019,41,ar,BUSI
"Biodiesel,FAME,Household fruit blender,Yield efficiency",13,2-s2.0-85070062407,205,2019,41,ar,ENGI
"Facebook Advertising,Facebook Advertising Attributes,Facebook Page Credibility,Purchase Intention,Social Media",2,2-s2.0-85096147618,174,2019,54,cp,COMP
"Facebook Advertising,Facebook Advertising Attributes,Facebook Page Credibility,Purchase Intention,Social Media",2,2-s2.0-85096147618,174,2019,54,cp,COMP
"Facebook Advertising,Facebook Advertising Attributes,Facebook Page Credibility,Purchase Intention,Social Media",2,2-s2.0-85096147618,174,2019,54,cp,COMP
"Facebook Advertising,Facebook Advertising Attributes,Facebook Page Credibility,Purchase Intention,Social Media",2,2-s2.0-85096147618,174,2019,54,cp,COMP
"Benzoxazine,Light-thermal responsive,Light-triggered shape memory polymer,Polycaprolactone,Silver nanoparticle",24,2-s2.0-85072336123,182,2019,46,ar,CHEM
"Benzoxazine,Light-thermal responsive,Light-triggered shape memory polymer,Polycaprolactone,Silver nanoparticle",24,2-s2.0-85072336123,182,2019,46,ar,MATE
"Benzoxazine,Light-thermal responsive,Light-triggered shape memory polymer,Polycaprolactone,Silver nanoparticle",24,2-s2.0-85072336123,182,2019,46,ar,MATE
"Epidemiology,Head and neck cancer,Human papillomavirus (HPV),Laryngeal cancer,Oral cancer,Oropharyngeal cancer,p16,Squamous cell carcinoma,Thailand",26,2-s2.0-85074689019,345,2019,31,ar,BIOC
"Epidemiology,Head and neck cancer,Human papillomavirus (HPV),Laryngeal cancer,Oral cancer,Oropharyngeal cancer,p16,Squamous cell carcinoma,Thailand",26,2-s2.0-85074689019,345,2019,31,ar,MEDI
