eid,subject_areas,publication_year,length_of_abstract,author_keywords,sub_type,citation_count,refcount
2-s2.0-85165706328,MULT,2023,225,,ar,0,57
2-s2.0-85165632623,MULT,2023,178,,ar,0,56
2-s2.0-85165625024,SOCI,2023,298,"Attitude,Knowledge,Medical abortion,Pharmacy students,Practice",ar,0,34
2-s2.0-85165571297,MULT,2023,215,,ar,0,86
2-s2.0-85165403367,DENT,2023,200,,ar,0,21
2-s2.0-85165362118,"ENVI,CENG,ENGI",2023,223,"Carbonate reservoir,Geological CO2 storage,Khorat plateau,Numerical simulation",ar,0,43
2-s2.0-85165293613,MULT,2023,221,,ar,0,51
2-s2.0-85165291315,"BUSI,COMP,SOCI,ECON",2023,246,"Deep-tech,Entrepreneurship,Innovation,Intellectual property,New product development,Research to commercialization,Technology transfer,Technopreneurship",ar,0,46
2-s2.0-85165287984,DENT,2023,199,,ar,0,42
2-s2.0-85164863670,MULT,2023,256,,ar,1,60
2-s2.0-85164845578,MULT,2023,201,,ar,0,62
2-s2.0-85164542329,MEDI,2023,429,"Acceptability,Feasibility,Malaria elimination,Reactive drug administration,Thailand",ar,0,51
2-s2.0-85164540702,MULT,2023,178,,ar,0,51
2-s2.0-85164472417,DENT,2023,181,,re,0,72
2-s2.0-85164272552,DENT,2023,246,"Artificial intelligence,Automatic digitization,Cephalometric tracings",ar,0,35
2-s2.0-85164167167,AGRI,2023,300,"Antioxidant enzymes,Continuous light,Hydroponic cultivation,Light spectrum,Molecular antioxidants,Phenolics productivity",ar,0,98
2-s2.0-85163762489,MULT,2023,293,,ar,0,78
2-s2.0-85163734847,MULT,2023,160,,ar,0,48
2-s2.0-85163716248,AGRI,2023,38,"Chemical profiles,Ecological aspects,Endophytes,Host and habitat preferences,Plant diseases,Systematics,Xylariaceae,Xylariales",re,0,168
2-s2.0-85163615796,MULT,2023,259,,ar,0,75
2-s2.0-85163078714,DENT,2023,202,,ar,1,27
2-s2.0-85163017552,MEDI,2023,305,"Medical imaging,Patient shielding,Radiation protection,Surveys and questionnaires",ar,0,13
2-s2.0-85162811076,MULT,2023,200,,ar,0,79
2-s2.0-85162721229,MEDI,2023,289,"Parent proxy,PROMIS,Thai,Translation,Upper extremities",ar,0,22
2-s2.0-85162136467,MULT,2023,137,,ar,0,45
2-s2.0-85162023698,MEDI,2023,166,,er,0,1
2-s2.0-85162008796,"CHEM,BIOC,PHYS",2023,81,,ar,0,81
2-s2.0-85162007361,MEDI,2023,65,,er,0,1
2-s2.0-85161905160,MULT,2023,219,,ar,0,62
2-s2.0-85161894749,DENT,2023,308,"OLP,Oral lichen planus,Shortened version of Oral Impact on Daily Performances,Shortened version of the OIDP index",ar,0,46
2-s2.0-85161461113,MULT,2023,219,,ar,0,28
2-s2.0-85161054910,MULT,2023,244,,ar,0,75
2-s2.0-85160980639,MULT,2023,245,,ar,0,58
2-s2.0-85160969477,MULT,2023,251,,ar,0,89
2-s2.0-85160943243,MULT,2023,205,,ar,0,57
2-s2.0-85160934149,MULT,2023,347,,ar,0,65
2-s2.0-85160914246,MEDI,2023,289,"Adjuvant drug,Breast cancer,Herbal medicine,Phellinus linteus,Smilax corbularia,Smilax glabra",ar,1,97
2-s2.0-85160888690,MEDI,2023,433,"Akt pathway,CSCs,Lung cancer,Molecular docking,Molecular dynamics simulations,Moscatilin,Resveratrol",ar,0,67
2-s2.0-85160887876,DENT,2023,344,"BioCement,Bioceramic,Biological properties,Chemical properties,Cockle shell,Dental pulp,Physical properties,Tricalcium silicate",ar,0,47
2-s2.0-85160828109,MEDI,2023,167,"Biliary atresia,Immune response,Inflammatory injury,Liver fibrosis",re,0,110
2-s2.0-85160774000,MULT,2023,260,,ar,0,53
2-s2.0-85160319313,MEDI,2023,177,"Carcinoma,Metformin,Orthodontics,Osseointegration,Periodontitis,Photochemotherapy,Squamous cell,Stem cells",re,0,88
2-s2.0-85160229121,MEDI,2023,344,"Ketegenic diet,Meta-analysis,Seizure,Systematic review,Umbrella review,Weight loss",ar,0,68
2-s2.0-85160071776,MEDI,2023,273,"Adherence,Antihyperglycemic medications,Difference-in-difference,Lipid-lowering medications",ar,0,63
2-s2.0-85159847736,MEDI,2023,305,"Acute pancreatitis,Intestinal integrity,Mice,Probiotics",ar,0,40
2-s2.0-85159804144,MULT,2023,251,,ar,0,22
2-s2.0-85159738723,MULT,2023,71,,er,0,
2-s2.0-85159724435,"VETE,AGRI",2023,414,"Acrosome integrity,Antibiotics,Boar,Chilled semen,Seminal bacteria",ar,0,44
2-s2.0-85159705462,MEDI,2023,365,"Cannabis,Harm,Laws,Legalization,Prevalence,Substance",ar,0,52
2-s2.0-85159469847,MULT,2023,255,,er,0,
2-s2.0-85159464803,DENT,2023,312,"Biofilm,Dental plaque,Fixed orthodontic appliance,Gingival index,Gingival inflammation,LED toothbrush,Orthodontic patient,Plaque index,Streptococcus mutans",ar,0,47
2-s2.0-85159462786,MULT,2023,179,,ar,0,43
2-s2.0-85159354896,MEDI,2023,232,"C26: carnitine,Hexacosanoylcarnitine,Metabolomic signature,Newborn screening,PCA,PLS-DA,Sparse PLS-DA,t-SNE,Very long chain fatty acids,X-ALD,X-linked adrenoleukodystrophy,Zellweger syndrome",ar,1,43
2-s2.0-85159193684,DENT,2023,291,"Head and neck cancer,Hyposalivation,Radiotherapy,Salivary gland,Trehalose,Xerostomia",ar,0,43
2-s2.0-85159009585,MEDI,2023,168,"Clotting factor concentrates,Coagulation factor,Healthcare rationing,Hemophilia,Hemophilia A,Hemophilia B,Thailand",le,0,14
2-s2.0-85158911480,MULT,2023,235,,ar,0,30
2-s2.0-85158071549,MEDI,2023,212,"Acute coronary syndrome,Bleeding,Enoxaparin,Factors",ar,0,18
2-s2.0-85158016414,MULT,2023,195,,ar,1,45
2-s2.0-85156257718,DENT,2023,220,,ar,1,26
2-s2.0-85156109378,MULT,2023,197,,ar,0,93
2-s2.0-85154020830,MEDI,2023,461,"Home parenteral nutrition,Liver function,Mixed oil lipid emulsion,Soybean oil lipid emulsion",ar,0,42
2-s2.0-85153687153,MULT,2023,236,,ar,1,62
2-s2.0-85153553148,"CHEM,BIOC,PHYS",2023,206,,ar,1,73
2-s2.0-85153496141,DENT,2023,228,"Hypodontia,Molar teeth,Oligodontia,Paired-box gene,Tooth development,Tooth missing",re,0,33
2-s2.0-85153433799,MULT,2023,234,,ar,0,59
2-s2.0-85153035507,DENT,2023,215,,ar,1,38
2-s2.0-85152679035,MULT,2023,208,,ar,0,64
2-s2.0-85152434203,MULT,2023,179,,ar,4,49
2-s2.0-85152346205,MULT,2023,209,,ar,0,63
2-s2.0-85152111098,MULT,2023,200,,ar,0,74
2-s2.0-85151919740,MULT,2023,204,,ar,0,72
2-s2.0-85151876042,MULT,2023,0,,er,0,
2-s2.0-85151804612,MULT,2023,202,,ar,0,74
2-s2.0-85151316520,MULT,2023,182,,ar,1,23
2-s2.0-85151315873,DENT,2023,239,"Dental students,Empathy,Jefferson Scale of Empathy,Reliability",ar,1,35
2-s2.0-85151170154,MULT,2023,200,,ar,0,46
2-s2.0-85151045098,MULT,2023,280,,ar,1,90
2-s2.0-85150991033,MULT,2023,117,,ar,0,71
2-s2.0-85150906826,MULT,2023,175,,ar,0,40
2-s2.0-85150764293,MULT,2023,44,,er,0,
2-s2.0-85150666942,MULT,2023,285,,ar,0,26
2-s2.0-85150665581,MULT,2023,199,,ar,1,52
2-s2.0-85150312095,MEDI,2023,29,,er,0,1
2-s2.0-85150003425,MULT,2023,327,,ar,1,53
2-s2.0-85149827693,MEDI,2023,125,"Fungal endophthalmitis,Panuveitis,Sporothrix,Sporotrichosis",ar,1,21
2-s2.0-85149683513,MULT,2023,266,,ar,0,45
2-s2.0-85149544307,MEDI,2023,216,"5-FU,Chemotherapy,Leukoencephalopathy,Neuroleptic malignant syndrome,Neurotoxicity",ar,0,22
2-s2.0-85149496251,MULT,2023,205,,ar,2,64
2-s2.0-85149341146,MULT,2023,201,,ar,0,55
2-s2.0-85149288315,MULT,2023,196,,ar,0,45
2-s2.0-85149036224,"HEAL,MEDI",2023,209,"Coronavirus,COVID-19,Drug-related problems,Home isolation,Pharmaceutical care,Pharmacists,Telepharmacy",ar,0,27
2-s2.0-85148972441,MULT,2023,217,,ar,0,38
2-s2.0-85148965789,MULT,2023,218,,ar,0,21
2-s2.0-85148752848,DENT,2023,203,,ar,0,34
2-s2.0-85148548242,MULT,2023,258,,ar,0,37
2-s2.0-85148388741,"SOCI,BIOC",2023,354,"Androgen receptor,Autism spectrum disorder,Bisphenol A,Endocrine-disrupting chemical,Microplastics,Molecular docking,Sex difference,Synaptogenesis,Transcription factor",ar,1,125
2-s2.0-85148383225,MEDI,2023,359,"Cannabidiol,Cannabinoids,Cannabis,CBD,Recurrent aphthous stomatitis,Recurrent aphthous ulcer,Topical steroids",ar,2,34
2-s2.0-85148343875,PHAR,2023,237,"Antibiotic,Antibiotic-coated,Antibiotic-loaded,Hydroxyapatite,Nile tilapia,Scaffold,Vancomycin",ar,1,67
2-s2.0-85148260707,MULT,2023,196,,ar,0,27
2-s2.0-85148226330,DENT,2023,294,,ar,0,30
2-s2.0-85148050234,MEDI,2023,296,"Antioxidant,Antiplasmodial,Hepatoprotective,Immunomodulator,Malaria,Nephroprotective,Plasmodium berghei,Plasmodium falciparum,Sonchus arvensis L",ar,2,48
2-s2.0-85147919614,MULT,2023,263,,ar,2,118
2-s2.0-85147783893,"MEDI,HEAL,NURS",2023,238,"Disabilities,HIIT,Interval exercise,Public health,Young people",re,1,56
2-s2.0-85147654978,"MEDI,HEAL",2023,295,"Adrenal cortex hormones steroids,Magnetic resonance imaging,Pain,Platelet-rich plasma,Tendinopathy",ar,1,30
2-s2.0-85147605084,ENER,2023,195,"Cheminformatics,Former,Hydrate,Machine learning,Methane,Storage",ar,1,54
2-s2.0-85147460717,MULT,2023,223,,ar,2,29
2-s2.0-85147421066,MULT,2023,205,,ar,0,44
2-s2.0-85147348056,MULT,2023,201,,ar,0,49
2-s2.0-85147318849,MULT,2023,32,,er,0,
2-s2.0-85147235366,MULT,2023,269,,ar,0,41
2-s2.0-85147184654,MULT,2023,193,,ar,0,56
2-s2.0-85147011851,MULT,2023,199,,ar,0,51
2-s2.0-85146958596,MEDI,2023,225,"Contraceptives,Female sterilization,Health coverage,Postpartum sterilization",ar,0,25
2-s2.0-85146921830,MULT,2023,204,,ar,3,60
2-s2.0-85146862052,MULT,2023,191,,ar,0,21
2-s2.0-85146826674,"MEDI,NEUR,NURS",2023,142,"Glossopharyngeal neuralgia,Hemifacial spasm,Neurovascular compression syndromes,Type-writer tinnitus,Vestibular paroxysmia",ar,0,17
2-s2.0-85146800032,MEDI,2023,282,"Functional electrical stimulation,Physical therapy,Robotic-assisted gait training,Treadmill,Walking",re,0,63
2-s2.0-85146798432,DENT,2023,317,"Anodontia,Hypodontia,Malocclusion,Microdontia,Nonsyndromic tooth agenesis,Oligodontia",ar,0,36
2-s2.0-85146593211,DENT,2023,304,"Chewing difficulty,Older adults,Oral status,Thailand",ar,0,38
2-s2.0-85146567695,"HEAL,MEDI",2023,319,"ADR,De-labeling,Drug allergy,Multidisciplinary",ar,0,26
2-s2.0-85146542491,MULT,2023,175,,ar,1,68
2-s2.0-85146485925,MULT,2023,232,,ar,2,81
2-s2.0-85146340352,MULT,2023,245,,ar,0,31
2-s2.0-85146338350,MULT,2023,261,,ar,1,37
2-s2.0-85146304913,"MEDI,BIOC",2023,343,"Extracellular signal-regulated kinase (ERK),Glucose-regulated protein 78 (GRP78),Histone deacetylase 6 (HDAC6),Lung cancer,Tubulin acetylation",ar,3,65
2-s2.0-85146302346,MULT,2023,207,,ar,1,36
2-s2.0-85145957507,MULT,2023,325,,ar,1,31
2-s2.0-85145956665,MULT,2023,214,,ar,0,40
2-s2.0-85145956280,MULT,2023,198,,ar,0,49
2-s2.0-85145645369,MEDI,2023,330,"Hair,Heavy metals,Printing factory workers,Thailand,Urine",ar,0,71
2-s2.0-85145525165,MULT,2023,222,,ar,2,36
2-s2.0-85145520895,MULT,2023,222,,ar,2,45
2-s2.0-85145430643,MEDI,2023,404,"COVID-19,Maladaptive coping behaviours,Pandemic,Resilience",ar,2,49
2-s2.0-85144908788,"BUSI,DECI",2023,267,"Competitive Advantage,Firm Performance,Manager Support,Supply Chain Management,Thailand",ar,0,49
2-s2.0-85141590017,MEDI,2023,0,,ar,0,4
2-s2.0-85087153311,"CENG,CHEM",2023,151,"Active sites,Bronsted and Lewis acid,Dispersion,Metathesis,Surface silanol",ar,0,53
2-s2.0-85128496217,MEDI,2023,209,"field output factors,IAEA-AAPM TRS-483,Monte Carlo simulation,small field dosimetry",ar,1,27
2-s2.0-85168156166,ENVI,2023,300,"Diversity detection,eDNA metabarcoding,Gulf of Thailand,Impact assessment,Marine diversity,Oil and gas platforms",ar,0,87
2-s2.0-85169013938,AGRI,2023,250,"-CaCO3,-TiO2,Bhimal Fiber (Grewia optiva),Bio-Composites,Flyash,Mechanical Properties,Optical Microscopy,Scanning Electron Microscopy,Thermal Properties",ar,0,92
2-s2.0-85167791800,"MATE,PHYS,ENGI",2023,83,"BiOBr,Exposed [1 1 0] facets,pH control,Photo-assisted charging supercapacitors",ar,0,15
2-s2.0-85167822123,"ENER,ENGI,CENG",2023,253,"Bubbly flow,Interfacial area concentration,Interfacial drag force,Interfacial heat transfer,Subcooled boiling flow",ar,0,50
2-s2.0-85170438374,"ENVI,CHEM,MEDI",2023,283,"Bioremediation,Crude oil-contaminated seawater,Immobilized bacterial consortium,Oil spill,Whole genome analysis",ar,0,
2-s2.0-85169977162,ENGI,2023,256,"Calcium aluminate cement,Fly ash,Graphene nanoplatelets,Mechanical properties,Microstructure",ar,0,53
2-s2.0-85169819324,"CENG,ENVI,ENER",2023,154,"Alginate encapsulation,Biocatalyst,Biohybrid system,Biohydrogen production,Photocatalyst",ar,0,32
2-s2.0-85169700836,"MATE,PHYS,ENGI",2023,312,"Advanced optical technologies,Clustering,Load balancing,Optical antennas,Scheduling",ar,0,29
2-s2.0-85169616197,"ENVI,CHEM,MEDI",2023,169,"Alloys,Carbon nanotubes,Hydrogen evolution reaction,Hydrogen generation,Nickel palladium,Waste plastics",ar,0,52
2-s2.0-85169610411,"MATE,PHYS",2023,209,"Carrageenan,Electrically controlled release,Freeze-drying,Transdermal patch",ar,0,52
2-s2.0-85168836100,"ENVI,CHEM,MEDI",2023,150,"Coking,Cyclic coke,Density functional theory,Phase transformation,γ-Al2O3",ar,0,55
2-s2.0-85168800772,"ENGI,COMP",2023,230,"Chaotic logistic map,Comprehensive learning,Heterogeneous,Particle swarm optimization,Structural optimization",ar,0,77
2-s2.0-85168409502,ENVI,2023,225,"Gaussian process regression,Machine learning,Meteorological condition,Particulate matters,Prediction",ar,0,72
2-s2.0-85167833007,"ENVI,CHEM,MEDI",2023,307,"Cadmium contamination,Food safety,Magnet-assisted soil washing,Soil remediation,Zero-valent iron",ar,0,27
2-s2.0-85166966094,PHYS,2023,248,"Electron beam,Electron dose,Natural rubber latex,Properties,Sulfur vulcanization",ar,0,31
2-s2.0-85166651691,"PHYS,CHEM,MATE",2023,118,"A1. Nanostructures,A3. Molecular beam epitaxy,B2. Semiconducting III-V materials",ar,0,29
2-s2.0-85166636358,"BIOC,ENVI",2023,180,"Antibacterial activity,Asparagus racemose,Photocatalytic activity,Wastewater,ZnO nanoparticles,ZnO-Chitosan-fiber",ar,0,34
2-s2.0-85166469289,"CHEM,CENG,PHYS",2023,112,"Cyanide ion,Fluorescent sensor,Indolium ion,Julolidine,Pyrene,Triphenylamine",ar,0,34
2-s2.0-85162092675,"PHYS,ENGI,CENG",2023,308,"Interfacial area transport equation,Large rectangular channel,Non-uniform inlet conditions,Two-fluid model",ar,0,26
2-s2.0-85162031744,"BIOC,AGRI",2023,119,"Cold plasma,Decontamination,Dielectric barrier discharge plasma,Microbial destruction,Nonthermal plasma,Shelflife extension",re,0,174
2-s2.0-85161601337,"CENG,ENER,CHEM",2023,191,"Aldol condensation,Bifunctional catalysts,Bio-jet fuel,Furfural,Mixed oxides,SBA-15",ar,0,57
2-s2.0-85150019417,AGRI,2023,208,"Ca.E. renieramycinifaciens,Chaetocerose gracilis,Culture,Nannochloropsis sp.,Renieramycins,Xestospongia sp",ar,0,29
2-s2.0-85161699941,"PHYS,MATE",2023,196,"Antibacterial activity,Nanocarrier,SiO2@C core–shell,Slow release,Thymol",ar,0,38
2-s2.0-85170528407,"CHEM,ENVI,BIOC",2023,226,"Cannabis,CB2 receptor,Electrochemical detection,Lateral-flow assay,Point-of-care testing,Δ9 -tetrahydrocannabinol",ar,0,49
2-s2.0-85169292688,"CENG,CHEM",2023,198,"3D printing,Electrical energy storage,Gel polymer electrolyte,Photopolymerization,Zinc battery",ar,0,39
2-s2.0-85165159605,"PHYS,CHEM,CENG",2023,215,"Bio-silica,Dielectric constant,Graphitic carbon nitride,Hydrophobicity,Oil-water separation,Polybenzoxazine,Thermal stability,Thymolphthalein",ar,0,34
2-s2.0-85168596645,MEDI,2023,234,"aortic stenosis,economic burden,hospitalization,mortality,Thailand",ar,0,13
2-s2.0-85165634739,"MATE,PHYS,ENGI",2023,125,"Electrochemical sensors,Enterovirus 71 (EV71),Hand foot and mouth disease (HFMD),Polyacrylamide composites,Self-assembly,Silver nanoparticles",ar,0,31
2-s2.0-85165573403,"BIOC,ENVI",2023,161,"Biopolymers,Chitosan,Chitosan nanoparticles,Composites,Functionalization,Hydrogels,Wound dressings",ar,0,302
2-s2.0-85164661935,"ENGI,ENER,ENVI",2023,230,"Bubble evolution,Electrode-electrolyte interface,Flow battery,Multiphysics,Surface morphology,Zinc-air battery",ar,0,30
2-s2.0-85163159639,AGRI,2023,301,"Antimicrobial susceptibility,Betta fish,Disinfectants,Histopathology,Non-tuberculous mycobacteria,Pathogenicity",ar,0,67
2-s2.0-85162932095,"MATH,ENGI",2023,162,"gradient-free proportional topology optimization,isogeometric analysis,multiresolution,reconstruction with NURBS basis functions",ar,0,96
2-s2.0-85162891205,"ENGI,MATE",2023,175,"Anharmonicity,First-principles calculations,Phonon,Superconductivity",ar,0,51
2-s2.0-85167564598,"CHEM,ENVI,BIOC",2023,275,"Capillary-driven microfluidics,COVID-19,Diagnostic testing,Immunoassays,Point-of-care,SARS-CoV-2",ar,0,65
2-s2.0-85161339468,"BIOC,MATE,CHEM,CENG",2023,202,"Dye wastewater treatment,Hollow fiber photocatalytic membrane,Polydopamine,Polyvinylidene difluoride membrane,TiO2",ar,1,57
2-s2.0-85170579320,"VETE,AGRI",2023,217,"Attitudes,Knowledge,Pig farms,Practices,Swine influenza",ar,0,29
2-s2.0-85170541808,ENER,2023,223,"Ethanol production,Fermentation process,Mixture design,Process simulation",ar,0,12
2-s2.0-85170423881,PHAR,2023,202,"Cyclodextrin,Eye drop,Posterior segment,Retina,Tacrolimus,Zein nanoparticle",ar,0,88
2-s2.0-85170342491,ENVI,2023,283,"Air pollution,Air Q+,Health impact assessment,PM2.5,Premature mortality,Thailand",ar,0,25
2-s2.0-85169841352,MEDI,2023,149,"Dengue fever,Dengue hemorrhagic fever,Dengue shock syndrome,Dengue virus,PRISMA,Systemic review",re,0,233
2-s2.0-85169797315,"PSYC,MEDI",2023,244,"Anxiety,Inflammation,Kynurenine,Mood disorders,Neuro-immune,Tryptophan",le,0,15
2-s2.0-85169584466,"AGRI,SOCI,ENVI",2023,253,"Economic stability,Green space,Healthy lifestyle,Social cohesion,Urban public space",ar,0,180
2-s2.0-85169293715,"MEDI,IMMU",2023,407,"ankylosing spondylitis,biosimilar,CT-P13,infliximab,phase IV,post-marketing surveillance,psoriatic arthritis,rheumatoid arthritis",ar,0,
2-s2.0-85168849412,"CHEM,MATE",2023,210,"Anthocyains-rich,Antibacterial activity,Berry extracts,Bio-nanocomposites,Magnetic Fe3O4,Surfact coating",ar,0,52
2-s2.0-85168063790,AGRI,2023,175,"Asia,Bone cracking,Felidae,Late Miocene,New taxon,Pantherine,Sabre-toothed cat",ar,0,86
2-s2.0-85168005679,NURS,2023,378,"Health check,Mental health,Nurse,Psychosis,RCT,Weight",ar,0,56
2-s2.0-85167992072,"BIOC,CENG,ENGI,MATE,PHAR",2023,203,"Catalyst,Hydrogenation,Metal-organic framework derived materials,Oxidation",re,0,291
2-s2.0-85167792111,"IMMU,NEUR",2023,255,"Affective disorders,Antioxidants,Autoimmunity,Depression,Neuro-immune,Oxidative and nitrosative stress",re,0,119
2-s2.0-85167605221,CHEM,2023,162,"Dual-shaped silver nanoparticles,Growth-based plasmonic sensor,Hydrogen peroxide sensor,Silver nanoparticles",ar,0,45
2-s2.0-85167437358,"IMMU,MEDI",2023,204,"Brugia spp.,Canine filariasis,Dirofilaria immitis,Dirofilaria repens,Thailand,Wolbachia sp.",ar,0,43
2-s2.0-85166951186,"BIOC,ENGI,ENVI,CENG",2023,207,"Bacterial communities,Benzothiazoles,Cell immobilization,Rubber industry,Wastewater treatment",ar,0,58
