eid,subject_areas,publication_year,length_of_abstract,author_keywords,sub_type,citation_count,refcount
2-s2.0-85103635326,"BUSI,ECON",2020,268,"Digital Orientation,Entrepreneurial Orientation,Entrepreneurship,Industry 4.0 Readiness Orientation,Learning Orientation,Marketing Orientation",ar,1,48
2-s2.0-85103632868,"BUSI,ECON",2020,332,"Co-creation,Micro Community Enterprise Herbal Products,New Product Development Process,R&D Government Assistance",ar,0,28
2-s2.0-85102351243,"ENGI,PHYS",2020,258,,ar,5,44
2-s2.0-85101854175,MEDI,2020,184,"Elderly,Functional disability,Low back pain,Quality of life",ar,0,28
2-s2.0-85101631590,"SOCI,ARTS",2020,199,"ASEAN composition,ASEAN drum,Dialects in music,Sakodai drum,Thai music composition,Thai-Cambodian composition",re,2,13
2-s2.0-85101597081,"SOCI,ARTS",2020,162,"Art education,ASEAN,Creative city,Creative economy,Cultural policy,Sustainability",re,1,55
2-s2.0-85101556397,"ARTS,SOCI",2020,0,,ed,0,
2-s2.0-85101336389,MATH,2020,196,"Artificial intelligence,Machine learning,Recursive partitioning technique,Tube-tree",ar,1,28
2-s2.0-85100808556,"ENGI,ENVI,MATE,PHYS,CENG,EART",2020,330,"Enrichment factor,PM10,Principal component analysis,Rainwater,Trace element,Wet deposition flux",ar,8,130
2-s2.0-85100769693,VETE,2020,210,"Acinetobacter baumannii,Animal,Multidrug efflux pump,Multidrug resistance,Rabbit",ar,0,27
2-s2.0-85100766403,VETE,2020,348,"Gel protein supplementation,IGF-1,Piglet,Pre-weaning mortality,Weight",ar,1,31
2-s2.0-85100705240,VETE,2020,181,"Animal,Antimicrobial resistance,Campylobacter,Human,Public health,Southeast Asia",re,2,37
2-s2.0-85100248008,MEDI,2020,306,"electrocautery-enhanced coaxial lumen-apposing,endoscopic ultrasound,fluoroscopy,pancreatic-fluid collections,self-expanding metal stent (ELAMS)",ar,2,21
2-s2.0-85099864636,AGRI,2020,148,"Australasia,Braconidae,Endoparasitoid of Diptera,Key,New species,New synonym,Redescription,Western Palaearctic",ar,1,26
2-s2.0-85099688912,"COMP,DECI",2020,164,"CNN,Neuroevolution,Object Detection,X-ray,YOLOv3",cp,2,13
2-s2.0-85099601285,MULT,2020,193,"dynamic model,linear model,linear parameter-varying model,nonlinear model,zinc-air battery",ar,7,44
2-s2.0-85099510728,MULT,2020,207,"Cell suspension culture,Elicitor,Morus alba,Mulberroside A,Precursor",ar,2,26
2-s2.0-85099496903,CHEM,2020,119,"Fusion,Hydrogel,Interface",ar,1,16
2-s2.0-85099309127,"COMP,PHYS,ENGI",2020,163,"Composite materials,Ductility,Earthquake,FRP,Glass fiber,Polymers,Strengthening",ar,5,47
2-s2.0-85099143180,"ENGI,MATE,MEDI",2020,302,"bone regeneration,calvarial defect,hydrogel,osteoporosis,tobacco mosaic virus",ar,10,34
2-s2.0-85099115511,"MEDI,BIOC",2020,262,"Febrile neutropenia,neutropenic fever,pediatric cancer",ar,2,19
2-s2.0-85099016404,MULT,2020,334,,ar,3,55
2-s2.0-85098968798,MULT,2020,279,,ar,6,29
2-s2.0-85098882216,ENER,2020,173,"Circulating fluidized bed riser,CO2 capture,Computational fluid dynamics,Simulation",ar,2,16
2-s2.0-85098872299,ENER,2020,246,"Behind-the-meter scheme,Internal rate of return,Rooftop photovoltaic systems,Solar power purchase agreement,Time-of-use tariff",ar,1,21
2-s2.0-85098769600,"ARTS,ECON",2020,104,,ar,4,52
2-s2.0-85098549700,ENGI,2020,216,"Bricks,Cement,Clay,Grout,Lateral response,Masonry,Walls",ar,3,29
2-s2.0-85098533567,"MEDI,IMMU",2020,288,"CD161,CD4,HIV-1,IL-12,IL-18,Th17",ar,1,46
2-s2.0-85098487058,"ENVI,ENGI",2020,213,"Decolorization,Dye wastewater,Fe2+ consumption,Fenton oxidation,Photo assistance,Reactive Red 239",ar,1,37
2-s2.0-85098272252,MEDI,2020,356,,ar,11,41
2-s2.0-85098226246,"BIOC,CHEM,CENG,ENER,ENVI,AGRI,EART",2020,93,"ATPase+K+ -ATPase,Diclofenac,Electrolytes,Fish",re,0,40
2-s2.0-85098114116,MEDI,2020,124,"Adenocarcinoma,Cervical cancer,Marantic endocarditis,Nonbacterial thrombotic endocarditis",ar,1,9
2-s2.0-85098070264,ENER,2020,168,"Alternative liquid fuel,Polyethylene wax,Pyrolysis",ar,5,18
2-s2.0-85097997697,"ENGI,COMP",2020,344,"BIM-based quantity takeoff,Building information modeling (BIM),Light-gauge steel framing,Quantification,Quantity takeoff,Wall framing",ar,2,46
2-s2.0-85097988170,"ENER,ENGI",2020,201,"Electric vehicle,Energy storage,Power systems,Renewable energy resources",ar,4,27
2-s2.0-85097916786,MULT,2020,203,,ar,16,54
2-s2.0-85097891707,"CENG,MATE",2020,194,"Gold nanoparticle,Leptospirosis,Size-dependent,TLR2",ar,3,35
2-s2.0-85097837416,"COMP,CHEM,MATH,PHYS",2020,147,"Nonsimultaneous quenching,Semi-linear parabolic system,Simultaneous quenching",ar,0,9
2-s2.0-85097811815,"ECON,SOCI,BUSI",2020,153,"Developing countries,Household saving,Personal income tax,Progressivity,Tax subsidies",ar,2,18
2-s2.0-85097776096,"COMP,PHYS",2020,129,"b jets,CMS,Deep learning,Higgs boson,Jet energy,Jet resolution",ar,16,45
2-s2.0-85097627326,MEDI,2020,333,"Endoscopic therapy,Outcomes,Real world,Recurrent,Variceal bleeding",ar,0,30
2-s2.0-85097616942,MEDI,2020,278,"Laparoscopic surgery,Prostate cancer,Radical prostatectomy,Robot-assisted surgery",ar,0,24
2-s2.0-85097613302,MEDI,2020,301,"Children,NAFLD,Obesity,Prebiotic,Probiotic,Synbiotic",ar,1,30
2-s2.0-85097609625,MEDI,2020,363,"DILI-HILI-SILI,Drug-induced liver injury,Hepatitis,R pattern",ar,1,30
2-s2.0-85097608097,MEDI,2020,275,"Children,Fundoplication,Gastroesophageal reflux disease,GERD,Outcome",ar,0,22
2-s2.0-85097603848,PHYS,2020,174,"Hadron-Hadron scattering (experiments),Jets,QCD",ar,8,67
2-s2.0-85097595495,VETE,2020,403,"butaphosphan,chilled boar semen,cyanocobalamin,life span,sperm quality",ar,1,33
2-s2.0-85097571136,MEDI,2020,537,,ar,6,17
2-s2.0-85097568570,PHYS,2020,207,"Hadron-Hadron scattering (experiments),Higgs physics",ar,21,107
2-s2.0-85097514819,"MEDI,IMMU",2020,208,"Carp edema virus,Chiang Mai,Gill,Koi Cyprinus carpio,Koi sleepy disease",ar,10,38
2-s2.0-85097514581,MULT,2020,289,,ar,6,37
2-s2.0-85097508225,"AGRI,NURS",2020,231,"Cancer,Diabetes,Infectious disease,Natural products,Neurodegenerative disease,Phytochemicals,Snake jasmine",ar,15,91
2-s2.0-85097447771,MULT,2020,183,,ar,7,70
2-s2.0-85097442950,PHYS,2020,136,"Supersymmetric Gauge Theory,Supersymmetry and Duality",ar,15,44
2-s2.0-85097406050,"BIOC,MEDI",2020,0,"atrial fibrillation,cardiomyopathy, hypertrophic,genetics,heart failure,whole genome sequencing",ar,7,5
2-s2.0-85097370465,ENVI,2020,188,"Ammonia oxidation,Cell entrapment,Nitritation,Nitrite oxidation,Novel nitrogen removal",ar,17,104
2-s2.0-85097321962,MEDI,2020,272,"Apoptosis,Gastric inflammation,Gastropathy,Genistein,H. pylori",ar,21,38
2-s2.0-85097319186,MEDI,2020,241,"Bariatric surgery,Cutaneous sign,Obesity,Skin,Weight loss",ar,4,28
2-s2.0-85097310758,MEDI,2020,150,,ar,19,52
2-s2.0-85097310680,MEDI,2020,253,,ar,2,40
2-s2.0-85097296083,ENVI,2020,238,"Polysaccharide,Prebiotic,Probiotic bacteria,Sea grape,Seaweed",ar,3,18
2-s2.0-85097280992,"BIOC,AGRI",2020,220,"Anthocyanins,Antioxidant,Cleistocalyx nervosum var. paniala,Ma-kiang,Neuroprotection,Phenolics",ar,5,37
2-s2.0-85097170650,"MEDI,SOCI,NURS",2020,211,"Barrier,Breastfeeding,Facilitator,Health education,Health promotion",ar,2,60
2-s2.0-85097130511,"AGRI,NURS",2020,251,"Capsaicin,Chili,Gastric accommodation,GERD,Stomach",ar,10,24
2-s2.0-85097123996,MULT,2020,255,,ar,17,37
2-s2.0-85097121116,MULT,2020,302,,ar,4,44
2-s2.0-85097092154,"ENGI,PHYS",2020,240,,ar,1,32
2-s2.0-85097068347,MULT,2020,222,,ar,2,62
2-s2.0-85097037827,"ENVI,MEDI",2020,212,"Blastocystis,Diabetes mellitus,SSU rRNA gene,Subtypes",ar,6,61
2-s2.0-85097035203,"CHEM,BIOC,PHAR",2020,205,"AMP-activated protein kinase,Chitosan oligosaccharide,Drug discovery,Polycystic kidney disease,Renal cyst",ar,7,56
2-s2.0-85097021819,"MEDI,NEUR",2020,150,,re,7,113
2-s2.0-85097013723,"CHEM,MATE",2020,199,"Ballistic helmet,MWCNTs,Poly(benzoxazine-co-urethane),Simulation",ar,4,33
2-s2.0-85096926417,MEDI,2020,261,"Fluid overload,Fluid removal,Renal replacement therapy,Ultrafiltration",ar,9,37
2-s2.0-85096914914,CENG,2020,198,"Biocomposite,Cellulose,Metallocene,Polyethylene",ar,0,39
2-s2.0-85096723606,MEDI,2020,276,"imaging,incidental,Lung cancer,radiology,screening",ar,4,40
2-s2.0-85096684788,MATE,2020,155,"Axial compression,Compressive strength,Concrete,Confinement,Ductility,FRP,Glass fiber,Ultimate strain",ar,26,54
2-s2.0-85096665436,"BIOC,AGRI",2020,320,"breed,follicle,ovulation,parity,sow",ar,2,21
2-s2.0-85096630376,ENER,2020,208,"ABE fermentation,Butanol,Clostridium beijerinckii,Immobilization,Napier grass,Pretreatment",ar,10,50
2-s2.0-85096559454,"CENG,ENGI",2020,147,"Methanol,Oxidative Steam Reforming,Rutile,TiO2 catalyst",ar,4,37
2-s2.0-85096552135,MULT,2020,204,,ar,12,83
2-s2.0-85096535910,"MATE,PHYS,ENGI",2020,211,"Heat treatment,Interstitial solid solution,Nitrogen,Powder metallurgy,Pure titanium,Tensile properties",ar,17,40
2-s2.0-85096530113,COMP,2020,174,"CCS Concepts,Neural networks,• Computing methodologies → Physical simulation",ar,10,50
2-s2.0-85096502665,"BIOC,AGRI",2020,279,"Akt,Goat,High ambient temperature,Mammary function,Oxidative stress",ar,8,36
2-s2.0-85096499103,"IMMU,MEDI",2020,250,"Acanthamoeba triangularis,Acanthopodia,Adhesion,Contact lens,Curcuma longa extract,Curcumin",ar,14,35
2-s2.0-85096446075,MEDI,2020,318,"Alcohol use disorder,Depressive disorder,National survey,Socio-economic status, wealth index",ar,7,53
2-s2.0-85096432465,"BIOC,CENG,IMMU,ENGI",2020,111,"carbon capture and utilization,cyanobacteria,metabolic engineering,synthetic biology",ar,12,138
2-s2.0-85096202709,"MEDI,HEAL",2020,247,"CARDIOPULMONARY EXERCISE TEST,CARDIOVASCULAR PHYSIOLOGY,HEART RATE,OXYGEN UPTAKE",ar,4,27
2-s2.0-85096186486,"ENER,ENGI,ENVI",2020,215,"Horizontal flow,Numerical simulation,RELAP5,Steam condensation,Water hammer",ar,9,32
2-s2.0-85096174411,"ENGI,MATE,PHYS",2020,227,"Coulomb friction,Elastic layer,Frictional indentation,Gurtin-Murdoch surface elasticity,Size dependency",ar,4,34
2-s2.0-85096077927,MULT,2020,205,,ar,3,35
2-s2.0-85096050785,BIOC,2020,137,"Culture medium,Lactation,Mammary gland,Stem cell,Stress response",ar,1,24
2-s2.0-85095986485,MEDI,2020,257,"Ketorolac,Parecoxib,Perioperative blood loss,Total knee arthroplasty",ar,5,28
2-s2.0-85095938999,MULT,2020,193,,ar,3,27
2-s2.0-85095938567,"CENG,CHEM",2020,157,"Ceria nanorod,CTAB,Gold,Hydrogen,Methanol,OSRM",ar,9,52
2-s2.0-85095914715,"CHEM,MATE,PHYS",2020,171,"Factor-group analysis,Hureaulite,Infrared spectroscopy,Lithiophilite,Mixed phases,Thermal behavior",ar,3,45
2-s2.0-85095805641,MULT,2020,208,,ar,33,46
2-s2.0-85095443080,"CHEM,BIOC",2020,238,"Asiaticoside,Binary,Complexation,Cyclodextrins,Solubility,Ternary",ar,18,63
2-s2.0-85095432734,"PSYC,MEDI",2020,267,,ar,16,46
2-s2.0-85095399729,MEDI,2020,285,"Chronic kidney disease,CKD risk score,HIV/AIDS,People living with HIV,The Asia-Pacific",ar,5,35
2-s2.0-85094956975,MEDI,2020,51,,er,11,
2-s2.0-85094940200,MULT,2020,199,,ar,10,26
2-s2.0-85094932760,MEDI,2020,221,"anticoagulation,continuous renal replacement therapy,precision medicine,solute control,technology,timing",re,1,50
2-s2.0-85094898367,MULT,2020,308,,ar,23,41
2-s2.0-85094844933,MEDI,2020,150,"Bilateral side-finger flaps (wing flaps),Burn injury,Chronic severe flexion contractures of fingers,Surgical release flexion contracture",ar,1,
2-s2.0-85094669448,BIOC,2020,232,"Cell proliferation,Dendrobium draconis,Gigantol,Lung cancer,MYC,Proteomics",ar,8,26
2-s2.0-85094314833,"MATE,ENGI",2020,133,"Extraction,Hydrometallurgical process,Ionic liquid,Mechanism,Precious metal",ar,38,129
2-s2.0-85094202021,MULT,2020,217,,ar,18,49
2-s2.0-85093985511,MEDI,2020,133,"Acute viral diarrhea,Antibiotic-associated diarrhea,Bacillus clausii,Chronic diarrhea,Clostridium difficile-associated diarrhea,Gastroenteritis,Helicobacter pylori infection,Pediatric diarrhea,Probiotics,Spores",re,12,26
2-s2.0-85093971880,"ENVI,EART",2020,229,"Groundwater,Hydrogeochemical characteristic,Principal component analysis,Saraburi,Thailand,Volcanic aquifer",ar,17,141
2-s2.0-85093925779,"ENVI,IMMU,AGRI",2020,352,"Emergent,Pathogenesis,Syncytial hepatitis,TiLV",ar,16,24
2-s2.0-85093861212,MULT,2020,166,,ar,10,45
2-s2.0-85093683218,NURS,2020,204,"Death,Death acceptance,End of life care,Palliative care,Terminal cancer patients",ar,6,28
2-s2.0-85093671109,"MATE,ENGI,PHAR",2020,211,"biofabrication,bioinks,cellulose,hemicellulose,hydrogels,lignin",re,35,182
2-s2.0-85093115484,MEDI,2020,0,,sh,8,23
2-s2.0-85093114111,AGRI,2020,49,"Asia,biodiversity crisis,conservation,emerging infectious diseases,legislation,pandemic,policy,wildlife trade,wildlife trafficking,zoonoses",sh,54,15
2-s2.0-85093103228,MEDI,2020,352,"Bile duct injury,Cell apoptosis,Fibrogenic cytokine,Organoid",ar,10,35
2-s2.0-85093075895,MULT,2020,180,,ar,14,63
2-s2.0-85092931902,MEDI,2020,0,,ar,12,6
2-s2.0-85092923028,"MEDI,IMMU,VETE",2020,221,"Avian influenza,Live bird market,Myanmar,Serology,Survey",ar,3,22
2-s2.0-85092909924,"ENGI,COMP",2020,158,"Cobalt-based alloys,Cryogenic turning,Indirect cryogenic cooling,Liquid nitrogen",ar,6,59
2-s2.0-85092904360,MATE,2020,196,"Basalt,Composite materials,Construction materials,Fiber-cement products,Mechanical properties,Roof tiles",ar,5,42
2-s2.0-85092799266,MULT,2020,192,,ar,11,39
2-s2.0-85092784787,MULT,2020,190,,ar,89,55
2-s2.0-85092776299,MEDI,2020,257,,re,44,591
2-s2.0-85092705001,"VETE,AGRI,BIOC",2020,256,"Aromatase,Estradiol,Exogenous gonadotropins,Follicle,Gilt",ar,2,26
2-s2.0-85092689621,MEDI,2020,353,"Amino terminal of type III procollagen peptide,Direct-acting antiviral,Hepatitis C,Liver fibrosis,Vitamin D",ar,3,37
2-s2.0-85092687612,"CENG,ENVI",2020,253,"CO2methanation,In situ doping,MCM-41,Nickel-based catalyst,Zirconium",ar,30,56
2-s2.0-85092642659,"BIOC,MEDI",2020,228,"Hepatomegaly,HMGCS2,Hypertriglyceridemia,Hypoglycemia,Hypophosphatemia",ar,4,23
2-s2.0-85092638492,MEDI,2020,186,,re,372,149
2-s2.0-85092571976,"BUSI,COMP,SOCI,ECON",2020,197,"Financial knowledge,Knowledge acquisition,Restaurant business,Small business entrepreneurs,Tools and technology",ar,10,84
2-s2.0-85092541456,AGRI,2020,228,"Acetate,Arthrospira platensis,phaBC genes,PHB,Photoheterotrophy",ar,10,57
2-s2.0-85092541416,MEDI,2020,283,,cp,20,35
2-s2.0-85092534225,"IMMU,ENVI,AGRI",2020,305,"Biofloc,Experimental challenge,Innate immunity,Jaggery powder,Nile tilapia",ar,24,90
2-s2.0-85092340534,"CENG,ENVI",2020,248,"Bio-oil,Biochar,Biomass,Co-pyrolysis,Pyrolysis,Pyrolysis products",ar,48,74
2-s2.0-85092305503,MULT,2020,201,,ar,10,39
2-s2.0-85092300522,"CENG,CHEM",2020,247,"Bi-metallic catalysts,CO2 reforming,HY zeolite,Ni–Co catalysts,ɤ-Al2O3-HY supported",ar,10,33
2-s2.0-85092298575,"PHYS,EART",2020,122,"Brans–Dicke theory,Dark energy,Dark matter,Kaluza–Klein",ar,2,91
2-s2.0-85092270187,"AGRI,CHEM,ENGI",2020,210,"Dielectric barrier discharge plasma,Hydrogenation,Margarine,Trans-fatty acid",ar,19,38
2-s2.0-85092219687,"BIOC,PHAR",2020,191,"Biliary tract cancer,Cholangiocarcinoma,Diabetes mellitus,High glucose,Interleukin-1β,Nuclear factor-κB,STAT3,Transcriptomics",ar,8,61
2-s2.0-85092202230,"CENG,MATE",2020,124,"Gas-phase ethylene polymerization,Magnesium precursor,Tri-octylaluminum,Triethylaluminum,ZN catalyst",ar,2,34
2-s2.0-85092191826,ENER,2020,203,"Biodiesel,Extended spacing stage,Hybridized reactive distillation,Pervaporation membrane,Waste cooking oil (WCO),Water removal",ar,14,54
2-s2.0-85092174535,MEDI,2020,0,,ed,0,10
2-s2.0-85092126137,"IMMU,MEDI",2020,73,"Acremonium,Fungal biofilm,Fungal peritonitis,Lyticase,Peritoneal catheter obstruction",ar,2,20
2-s2.0-85092075609,"BIOC,PHAR",2020,248,"Antiviral treatment,COVID-19,Immunomodulation,Macrolide,SARS-CoV-2",re,6,340
2-s2.0-85092052918,MULT,2020,201,,ar,24,36
2-s2.0-85092018795,"COMP,SOCI",2020,229,"Data analytics,Machine learning,Mobile applications,Personally identifiable information (PII),Privacy",ar,4,34
2-s2.0-85091803346,MULT,2020,225,,ar,19,41
2-s2.0-85091763026,"ENGI,MATE",2020,178,"Compressive strength,Fiber-reinforced polymer (FRP),Heat treatment,Natural fiber",ar,13,51
2-s2.0-85091747402,"COMP,ENGI",2020,133,"Cockpit crew rostering,Low-cost airline,Many objectives optimisation",ar,11,35
2-s2.0-85091722293,MEDI,2020,287,"Brugada syndrome,Genetics,Genome-wide association study,SCN5A,Thailand",ar,22,20
2-s2.0-85091715580,MULT,2020,249,,ar,650,65
2-s2.0-85091714142,"CENG,CHEM,MATE",2020,202,"Carbon nanotube,Hybrid filler,Nanocomposites,Natural rubber,Zinc oxide nanoparticles",ar,4,41
2-s2.0-85091643121,"BIOC,AGRI",2020,98,"Anti-inflammatory,Diterpenoid,Euphorbia antiquorum,Euphorbiaceae,Nitric oxide inhibition",ar,8,23
2-s2.0-85091612577,"BIOC,MEDI",2020,194,"asthenozoospermia,coenzyme Q10,infertility,oxidative stress,total sperm motility",ar,3,34
2-s2.0-85091587505,AGRI,2020,178,"Extraction,Hansen solubility parameters,Rice bran oil soapstock,γ-Oryzanol",ar,5,20
2-s2.0-85091493329,MEDI,2020,320,"cancer prevention,gastric cancer,helicobacter pylori,helicobacter pylori - treatment,screening",re,178,150
2-s2.0-85091491334,"BIOC,AGRI",2020,219,"CRISPR/Cas9,CRISPR/Cpf1,Genome editing,Meganuclease,TALENs,ZFNs",re,20,157
2-s2.0-85091486781,MEDI,2020,264,"Androgenetic alopecia,Asian,Male pattern hair loss,Oral minoxidil,Side effects,Treatment",ar,27,30
2-s2.0-85091243330,"BIOC,ENVI",2020,193,"Agricultural waste,Anaerobic digestion sludge,Bio-based economy,Pyrolysis,Waste-derived activated carbon",ar,27,41
2-s2.0-85091198344,MULT,2020,152,,ar,6,43
2-s2.0-85090968153,DENT,2020,204,"accuracy,computer-assisted implant surgery,dental implant,parallelism",ar,38,35
2-s2.0-85090957477,MEDI,2020,318,"advance care planning,goals of care,health policy,POLST,quality improvement",ar,6,29
2-s2.0-85090922023,MEDI,2020,207,"Asian critically ill patients,Continuous renal replacement therapy,Drug dosing,Meropenem,Monte Carlo simulations",ar,8,30
2-s2.0-85090787806,MEDI,2020,273,"analgesics,narcotics,opioid,postoperative pain,prescription",ar,69,46
2-s2.0-85090750587,"MEDI,IMMU,VETE",2020,151,"Dog,Experimental infection,Leishmania infantum,Real-time PCR,Saliva",ar,5,46
